business_name,contact_email,contact_phone,contact_person
Community Catering Services,info@communitycartering.com,(555) 123-4567,Maria Rodriguez
Community Print Shop,orders@communityprintshop.com,(555) 234-5678,David Chen
Eco-Friendly Cleaning,contact@ecofriendlyclean.com,(555) 345-6789,Sarah Johnson
Local Office Supply Co,sales@localofficesupply.com,(555) 456-7890,Michael Thompson
Local Transportation LLC,dispatch@localtransport.com,(555) 567-8901,Jennifer Williams
Small Biz Consulting,hello@smallbizconsulting.com,(555) 678-9012,Robert Anderson
Green Energy Solutions LLC,info@greenenergysolutions.com,(555) 789-0123,Amanda Green
Bay Area Office Supply,sales@bayareaoffice.com,(555) 890-1234,Kevin Park
TechFix Solutions,support@techfixsolutions.com,(555) 901-2345,Lisa Wang
Digital Print Solutions,orders@digitalprint.com,(555) 012-3456,Carlos Martinez
